"filename", "language", "Rust", "GLSL", "Lua", "comment", "blank", "total"
"e:\Programs\Rust\AndromedaRust\assets\shaders\piano_roll_kb.vert", "GLSL", 0, 56, 0, 0, 15, 71
"e:\Programs\Rust\AndromedaRust\assets\shaders\piano_roll_note.frag", "GLSL", 0, 17, 0, 0, 6, 23
"e:\Programs\Rust\AndromedaRust\assets\shaders\piano_roll_note.vert", "GLSL", 0, 63, 0, 2, 15, 80
"e:\Programs\Rust\AndromedaRust\assets\shaders\track_view_bg.frag", "GLSL", 0, 31, 0, 0, 10, 41
"e:\Programs\Rust\AndromedaRust\assets\shaders\track_view_bg.vert", "GLSL", 0, 36, 0, 0, 6, 42
"e:\Programs\Rust\AndromedaRust\assets\shaders\track_view_note.frag", "GLSL", 0, 12, 0, 0, 6, 18
"e:\Programs\Rust\AndromedaRust\assets\shaders\track_view_note.vert", "GLSL", 0, 45, 0, 0, 10, 55
"e:\Programs\Rust\AndromedaRust\build.rs", "Rust", 47, 0, 0, 4, 13, 64
"e:\Programs\Rust\AndromedaRust\src\app.rs", "Rust", 7, 0, 0, 0, 0, 7
"e:\Programs\Rust\AndromedaRust\src\app\custom_widgets.rs", "Rust", 82, 0, 0, 16, 19, 117
"e:\Programs\Rust\AndromedaRust\src\app\main_window.rs", "Rust", 1908, 0, 0, 151, 355, 2414
"e:\Programs\Rust\AndromedaRust\src\app\rendering.rs", "Rust", 132, 0, 0, 13, 17, 162
"e:\Programs\Rust\AndromedaRust\src\app\rendering\buffers.rs", "Rust", 187, 0, 0, 23, 26, 236
"e:\Programs\Rust\AndromedaRust\src\app\rendering\data_view.rs", "Rust", 452, 0, 0, 37, 108, 597
"e:\Programs\Rust\AndromedaRust\src\app\rendering\note_cull_helper.rs", "Rust", 81, 0, 0, 12, 22, 115
"e:\Programs\Rust\AndromedaRust\src\app\rendering\piano_roll.rs", "Rust", 603, 0, 0, 128, 150, 881
"e:\Programs\Rust\AndromedaRust\src\app\rendering\shaders.rs", "Rust", 66, 0, 0, 3, 13, 82
"e:\Programs\Rust\AndromedaRust\src\app\rendering\track_view.rs", "Rust", 363, 0, 0, 22, 90, 475
"e:\Programs\Rust\AndromedaRust\src\app\shared.rs", "Rust", 112, 0, 0, 16, 20, 148
"e:\Programs\Rust\AndromedaRust\src\app\ui.rs", "Rust", 6, 0, 0, 0, 0, 6
"e:\Programs\Rust\AndromedaRust\src\app\ui\dialog.rs", "Rust", 44, 0, 0, 9, 10, 63
"e:\Programs\Rust\AndromedaRust\src\app\ui\dialog_drawer.rs", "Rust", 82, 0, 0, 3, 18, 103
"e:\Programs\Rust\AndromedaRust\src\app\ui\dialog_manager.rs", "Rust", 115, 0, 0, 3, 26, 144
"e:\Programs\Rust\AndromedaRust\src\app\ui\edtior_info.rs", "Rust", 38, 0, 0, 42, 9, 89
"e:\Programs\Rust\AndromedaRust\src\app\ui\main_menu_bar.rs", "Rust", 119, 0, 0, 21, 17, 157
"e:\Programs\Rust\AndromedaRust\src\app\ui\manual.rs", "Rust", 86, 0, 0, 54, 11, 151
"e:\Programs\Rust\AndromedaRust\src\app\util.rs", "Rust", 2, 0, 0, 0, 0, 2
"e:\Programs\Rust\AndromedaRust\src\app\util\image_loader.rs", "Rust", 32, 0, 0, 0, 8, 40
"e:\Programs\Rust\AndromedaRust\src\app\util\rich_text_parser.rs", "Rust", 0, 0, 0, 87, 0, 87
"e:\Programs\Rust\AndromedaRust\src\app\view_settings.rs", "Rust", 83, 0, 0, 1, 13, 97
"e:\Programs\Rust\AndromedaRust\src\audio.rs", "Rust", 5, 0, 0, 0, 0, 5
"e:\Programs\Rust\AndromedaRust\src\audio\event_playback.rs", "Rust", 426, 0, 0, 25, 91, 542
"e:\Programs\Rust\AndromedaRust\src\audio\kdmapi_engine.rs", "Rust", 73, 0, 0, 0, 13, 86
"e:\Programs\Rust\AndromedaRust\src\audio\midi_audio_engine.rs", "Rust", 6, 0, 0, 0, 0, 6
"e:\Programs\Rust\AndromedaRust\src\audio\midi_devices.rs", "Rust", 116, 0, 0, 3, 30, 149
"e:\Programs\Rust\AndromedaRust\src\audio\track_mixer.rs", "Rust", 30, 0, 0, 4, 6, 40
"e:\Programs\Rust\AndromedaRust\src\editor.rs", "Rust", 12, 0, 0, 0, 0, 12
"e:\Programs\Rust\AndromedaRust\src\editor\actions.rs", "Rust", 185, 0, 0, 19, 22, 226
"e:\Programs\Rust\AndromedaRust\src\editor\edit_functions.rs", "Rust", 427, 0, 0, 58, 103, 588
"e:\Programs\Rust\AndromedaRust\src\editor\editing.rs", "Rust", 101, 0, 0, 5, 21, 127
"e:\Programs\Rust\AndromedaRust\src\editor\editing\data_editing.rs", "Rust", 249, 0, 0, 15, 76, 340
"e:\Programs\Rust\AndromedaRust\src\editor\editing\lua_note_editing.rs", "Rust", 254, 0, 0, 8, 69, 331
"e:\Programs\Rust\AndromedaRust\src\editor\editing\meta_editing.rs", "Rust", 198, 0, 0, 61, 45, 304
"e:\Programs\Rust\AndromedaRust\src\editor\editing\note_editing.rs", "Rust", 1129, 0, 0, 135, 293, 1557
"e:\Programs\Rust\AndromedaRust\src\editor\editing\note_editing\note_sequence_funcs.rs", "Rust", 164, 0, 0, 4, 43, 211
"e:\Programs\Rust\AndromedaRust\src\editor\editing\note_editing_old.rs", "Rust", 1292, 0, 0, 502, 253, 2047
"e:\Programs\Rust\AndromedaRust\src\editor\editing\track_editing.rs", "Rust", 649, 0, 0, 135, 199, 983
"e:\Programs\Rust\AndromedaRust\src\editor\keybinds.rs", "Rust", 0, 0, 0, 3, 0, 3
"e:\Programs\Rust\AndromedaRust\src\editor\midi_bar_cacher.rs", "Rust", 78, 0, 0, 4, 18, 100
"e:\Programs\Rust\AndromedaRust\src\editor\navigation.rs", "Rust", 141, 0, 0, 3, 28, 172
"e:\Programs\Rust\AndromedaRust\src\editor\playhead.rs", "Rust", 31, 0, 0, 0, 5, 36
"e:\Programs\Rust\AndromedaRust\src\editor\plugins.rs", "Rust", 115, 0, 0, 4, 18, 137
"e:\Programs\Rust\AndromedaRust\src\editor\plugins\plugin_andromeda_obj.rs", "Rust", 47, 0, 0, 2, 9, 58
"e:\Programs\Rust\AndromedaRust\src\editor\plugins\plugin_dialog.rs", "Rust", 402, 0, 0, 73, 56, 531
"e:\Programs\Rust\AndromedaRust\src\editor\plugins\plugin_error_dialog.rs", "Rust", 46, 0, 0, 1, 10, 57
"e:\Programs\Rust\AndromedaRust\src\editor\plugins\plugin_lua.rs", "Rust", 120, 0, 0, 2, 24, 146
"e:\Programs\Rust\AndromedaRust\src\editor\project.rs", "Rust", 81, 0, 0, 5, 23, 109
"e:\Programs\Rust\AndromedaRust\src\editor\project\project_data.rs", "Rust", 92, 0, 0, 36, 17, 145
"e:\Programs\Rust\AndromedaRust\src\editor\project\project_manager.rs", "Rust", 79, 0, 0, 0, 24, 103
"e:\Programs\Rust\AndromedaRust\src\editor\settings.rs", "Rust", 2, 0, 0, 0, 0, 2
"e:\Programs\Rust\AndromedaRust\src\editor\settings\editor_settings.rs", "Rust", 259, 0, 0, 59, 46, 364
"e:\Programs\Rust\AndromedaRust\src\editor\settings\project_settings.rs", "Rust", 82, 0, 0, 73, 18, 173
"e:\Programs\Rust\AndromedaRust\src\editor\tempo_map.rs", "Rust", 68, 0, 0, 0, 12, 80
"e:\Programs\Rust\AndromedaRust\src\editor\util.rs", "Rust", 324, 0, 0, 71, 88, 483
"e:\Programs\Rust\AndromedaRust\src\main.rs", "Rust", 26, 0, 0, 19, 5, 50
"e:\Programs\Rust\AndromedaRust\src\midi.rs", "Rust", 5, 0, 0, 0, 0, 5
"e:\Programs\Rust\AndromedaRust\src\midi\events.rs", "Rust", 4, 0, 0, 0, 0, 4
"e:\Programs\Rust\AndromedaRust\src\midi\events\channel_event.rs", "Rust", 18, 0, 0, 0, 2, 20
"e:\Programs\Rust\AndromedaRust\src\midi\events\mergers.rs", "Rust", 49, 0, 0, 1, 7, 57
"e:\Programs\Rust\AndromedaRust\src\midi\events\meta_event.rs", "Rust", 55, 0, 0, 0, 4, 59
"e:\Programs\Rust\AndromedaRust\src\midi\events\note.rs", "Rust", 72, 0, 0, 2, 16, 90
"e:\Programs\Rust\AndromedaRust\src\midi\io.rs", "Rust", 1, 0, 0, 0, 0, 1
"e:\Programs\Rust\AndromedaRust\src\midi\io\buffered_reader.rs", "Rust", 107, 0, 0, 5, 25, 137
"e:\Programs\Rust\AndromedaRust\src\midi\midi_file.rs", "Rust", 359, 0, 0, 86, 78, 523
"e:\Programs\Rust\AndromedaRust\src\midi\midi_track.rs", "Rust", 59, 0, 0, 0, 11, 70
"e:\Programs\Rust\AndromedaRust\src\midi\midi_track_parser.rs", "Rust", 351, 0, 0, 26, 26, 403
"e:\Programs\Rust\AndromedaRust\src\util.rs", "Rust", 3, 0, 0, 0, 0, 3
"e:\Programs\Rust\AndromedaRust\src\util\expression_parser.rs", "Rust", 28, 0, 0, 28, 5, 61
"e:\Programs\Rust\AndromedaRust\src\util\system_stats.rs", "Rust", 96, 0, 0, 1, 15, 112
"e:\Programs\Rust\AndromedaRust\src\util\timer.rs", "Rust", 28, 0, 0, 0, 5, 33
"Total", "-", 13191, 488, 427, 2139, 2959, 19204
